site,sample,pcr1,pcr2
27mi,1,1,1
AlderLake,1,0,0
AspenLake,1,1,1
BakerLake,1,0,0
BarD,1,1,0
BrolliarParkTank,1,0,0
BrolliarWetLand,1,NA,NA
CallowayLake,1,1,1
Clints,1,1,1
MahanPark,1,0,0
McClureLake,1,0,0
MudTank,1,0,0
NN13,1,1,1
NoName 7,1,0,0
Salmon,1,0,0
Tbar,1,0,0
Tinny,1,0,0
TwinPonds,1,0,0
VanDeren,1,0,0
ZZtank,1,0,0
27mi,2,1,1
AlderLake,2,1,1
AspenLake,2,1,1
BakerLake,2,0,0
BarD,2,1,0
BrolliarParkTank,2,0,1
BrolliarWetLand,2,0,1
CallowayLake,2,1,1
Clints,2,0,0
MahanPark,2,0,0
McClureLake,2,0,0
MudTank,2,0,0
NN13,2,0,0
NoName 7,2,1,1
Salmon,2,0,0
Tbar,2,0,0
Tinny,2,1,1
TwinPonds,2,0,0
VanDeren,2,1,1
ZZtank,2,1,1
27mi,3,0,0
AlderLake,3,1,1
AspenLake,3,1,1
BakerLake,3,0,0
BarD,3,0,0
BrolliarParkTank,3,0,1
BrolliarWetLand,3,NA,NA
CallowayLake,3,1,1
Clints,3,0,0
MahanPark,3,0,1
McClureLake,3,0,0
MudTank,3,0,0
NN13,3,0,0
NoName 7,3,0,0
Salmon,3,1,1
Tbar,3,1,1
Tinny,3,1,1
TwinPonds,3,1,1
VanDeren,3,1,1
ZZtank,3,1,1
27mi,4,0,0
AlderLake,4,0,0
AspenLake,4,0,0
BakerLake,4,NA,NA
BarD,4,0,0
BrolliarParkTank,4,1,1
BrolliarWetLand,4,0,0
CallowayLake,4,0,0
Clints,4,1,1
MahanPark,4,0,1
McClureLake,4,NA,NA
MudTank,4,0,0
NN13,4,0,0
NoName 7,4,NA,NA
Salmon,4,0,0
Tbar,4,0,0
Tinny,4,NA,NA
TwinPonds,4,0,0
VanDeren,4,NA,NA
ZZtank,4,0,0
