site,loadT1,loadT2,frogs,Bd
27mi,3020,5531,0.28,67
AlderLake,1409,3785,0.49,38
AspenLake,12574,42834,0.5,98
BakerLake,0,0,0.22,0
BarD,1196,1508,0.37,58
BrolliarParkTank,20,3360,0.47,22
BrolliarWetLand,97,10101,0.34,35
CallowayLake,260,6254,0.35,43
Clints,37,14,0.26,12
MahanPark,107,4059,0.27,15
McClureLake,209,222,0.34,7
MudTank,0,0,0.15,0
NN13,0,,0.19,0
NoName 7,2533,618,0.32,59
Salmon,1632,3577,0.22,75
Tbar,295,995,0.22,32
Tinny,601,1328,0.4,30
TwinPonds,0,1893,0.41,10
VanDeren,2179,2021,0.35,25
ZZtank,222,6666,0.63,22
